,지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
7,서울특별시,씨앤에스유통(주) 구로드림주유소,서울 구로구 경인로 41 (온수동),S-OIL,02-2611-5180,Y,-,1897,1939,-
8,서울특별시,㈜자연에너지 고척주유소,서울 구로구 고척로 199 (고척동),HD현대오일뱅크,02-2687-5755,Y,2030,1897,1860,-
9,서울특별시,(주)서울에너지 궁동주유소,서울 구로구 오리로 1299 (궁동),HD현대오일뱅크,02-2687-9960,Y,2030,1897,1860,-
10,서울특별시,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),S-OIL,02-2611-1113,Y,-,1925,1945,-
11,서울특별시,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),GS칼텍스,02-861-5189,Y,-,1939,1999,-
12,서울특별시,개봉주유소,서울 구로구 고척로 115 (개봉동),HD현대오일뱅크,02-2618-5145,Y,-,1939,1939,-
13,서울특별시,대성산업(주)디큐브주유소,서울 구로구 경인로 650,GS칼텍스,02-2633-7188,N,2165,1944,1938,-
14,서울특별시,서서울고속주유소,서울 구로구 경인로 150 (오류동),SK에너지,02-2683-1126,Y,2119,1967,1997,-
15,서울특별시,(주)제이제이네트웍스 신구로주유소,서울 구로구 가마산로 293 (구로동),HD현대오일뱅크,02-859-0051,N,2498,2198,2098,-
16,서울특별시,구로주유소,서울 구로구 구로동로 137 (구로동),GS칼텍스,02-857-1251,N,-,2340,2190,1920
17,서울특별시,동아주유소,서울 구로구 도림로 91 (구로동),S-OIL,02-855-1282,N,-,2398,2398,1898
